timestamp,power.draw [W],temperature.gpu,memory.used [MiB]
2026-09-02T16:57:30Z,40.50 W, 35, 60830 MiB
2026-09-02T16:57:31Z,38.39 W, 37, 51568 MiB
2026-09-02T16:57:31Z,42.40 W, 36, 50640 MiB
2026-09-02T16:57:31Z,39.47 W, 37, 52094 MiB
2026-09-02T16:57:31Z,40.50 W, 35, 60830 MiB
2026-09-02T16:57:32Z,38.47 W, 36, 51568 MiB
2026-09-02T16:57:32Z,42.50 W, 36, 50640 MiB
2026-09-02T16:57:32Z,39.47 W, 37, 52094 MiB
2026-09-02T16:57:32Z,40.40 W, 35, 60830 MiB
2026-09-02T16:57:33Z,38.47 W, 36, 51568 MiB
2026-09-02T16:57:33Z,42.49 W, 36, 50640 MiB
2026-09-02T16:57:33Z,39.47 W, 37, 52094 MiB
2026-09-02T16:57:33Z,40.49 W, 35, 60830 MiB
2026-09-02T16:57:34Z,38.39 W, 36, 51568 MiB
2026-09-02T16:57:34Z,42.40 W, 36, 50640 MiB
2026-09-02T16:57:34Z,39.37 W, 37, 52094 MiB
2026-09-02T16:57:34Z,40.59 W, 35, 60830 MiB
2026-09-02T16:57:35Z,38.67 W, 36, 51568 MiB
2026-09-02T16:57:35Z,42.39 W, 36, 50640 MiB
2026-09-02T16:57:35Z,39.37 W, 37, 52094 MiB
2026-09-02T16:57:35Z,40.59 W, 35, 60830 MiB
2026-09-02T16:57:36Z,38.88 W, 36, 51568 MiB
2026-09-02T16:57:36Z,42.69 W, 36, 50640 MiB
2026-09-02T16:57:36Z,39.28 W, 37, 52094 MiB
2026-09-02T16:57:36Z,40.70 W, 35, 60830 MiB
2026-09-02T16:57:37Z,38.76 W, 36, 51568 MiB
2026-09-02T16:57:37Z,42.69 W, 36, 50640 MiB
2026-09-02T16:57:37Z,39.37 W, 36, 52094 MiB
2026-09-02T16:57:37Z,40.60 W, 35, 60830 MiB
2026-09-02T16:57:38Z,38.85 W, 36, 51568 MiB
2026-09-02T16:57:38Z,42.50 W, 35, 50640 MiB
2026-09-02T16:57:38Z,39.57 W, 36, 52094 MiB
2026-09-02T16:57:38Z,40.41 W, 35, 60830 MiB
2026-09-02T16:57:39Z,38.78 W, 36, 51568 MiB
2026-09-02T16:57:39Z,42.50 W, 35, 50640 MiB
2026-09-02T16:57:39Z,39.38 W, 36, 52094 MiB
2026-09-02T16:57:39Z,40.41 W, 35, 60830 MiB
2026-09-02T16:57:40Z,38.76 W, 36, 51568 MiB
2026-09-02T16:57:40Z,42.49 W, 35, 50640 MiB
2026-09-02T16:57:40Z,39.47 W, 36, 52094 MiB
2026-09-02T16:57:40Z,40.49 W, 35, 60830 MiB
2026-09-02T16:57:41Z,38.66 W, 36, 51568 MiB
2026-09-02T16:57:41Z,42.40 W, 35, 50640 MiB
2026-09-02T16:57:41Z,39.38 W, 36, 52094 MiB
2026-09-02T16:57:41Z,40.50 W, 35, 60830 MiB
2026-09-02T16:57:42Z,38.67 W, 36, 51568 MiB
2026-09-02T16:57:42Z,42.30 W, 35, 50640 MiB
2026-09-02T16:57:42Z,39.38 W, 36, 52094 MiB
2026-09-02T16:57:42Z,40.40 W, 34, 60830 MiB
2026-09-02T16:57:43Z,38.67 W, 36, 51568 MiB
2026-09-02T16:57:43Z,42.30 W, 35, 50640 MiB
2026-09-02T16:57:43Z,39.28 W, 36, 52094 MiB
2026-09-02T16:57:43Z,40.40 W, 34, 60830 MiB
2026-09-02T16:57:44Z,38.66 W, 36, 51568 MiB
2026-09-02T16:57:44Z,42.39 W, 35, 50640 MiB
2026-09-02T16:57:44Z,39.28 W, 36, 52094 MiB
2026-09-02T16:57:44Z,40.40 W, 34, 60830 MiB
2026-09-02T16:57:45Z,38.67 W, 36, 51568 MiB
2026-09-02T16:57:45Z,42.30 W, 35, 50640 MiB
2026-09-02T16:57:45Z,39.28 W, 36, 52094 MiB
2026-09-02T16:57:45Z,40.41 W, 34, 60830 MiB
2026-09-02T16:57:46Z,38.67 W, 36, 51568 MiB
2026-09-02T16:57:46Z,42.21 W, 35, 50640 MiB
2026-09-02T16:57:46Z,39.38 W, 36, 52094 MiB
2026-09-02T16:57:46Z,40.41 W, 34, 60830 MiB
2026-09-02T16:57:47Z,38.57 W, 36, 51568 MiB
2026-09-02T16:57:47Z,42.30 W, 35, 50640 MiB
2026-09-02T16:57:47Z,39.18 W, 36, 52094 MiB
2026-09-02T16:57:47Z,40.40 W, 34, 60830 MiB
2026-09-02T16:57:48Z,182.65 W, 40, 51568 MiB
2026-09-02T16:57:48Z,44.70 W, 35, 50640 MiB
2026-09-02T16:57:48Z,41.97 W, 36, 52094 MiB
2026-09-02T16:57:48Z,42.81 W, 34, 60830 MiB
2026-09-02T16:57:49Z,193.15 W, 42, 51568 MiB
2026-09-02T16:57:49Z,213.88 W, 43, 50640 MiB
2026-09-02T16:57:49Z,186.30 W, 43, 52094 MiB
2026-09-02T16:57:49Z,185.48 W, 40, 60830 MiB
2026-09-02T16:57:50Z,169.73 W, 43, 51568 MiB
2026-09-02T16:57:50Z,177.81 W, 44, 50640 MiB
2026-09-02T16:57:50Z,178.79 W, 44, 52094 MiB
2026-09-02T16:57:50Z,180.95 W, 41, 60830 MiB
2026-09-02T16:57:51Z,57.15 W, 43, 51688 MiB
